名称,面积,租价,房型,位置
望京圣馨大地家园3室2厅,158.68㎡,15000,3  室  2  厅,"
                    圣馨大地家园                "
魏公村天作国际1室1厅,40㎡,8200,1  室  1  厅,"
                    天作国际                "
龙泽新龙城3室1厅,102㎡,7800,3  室  1  厅,"
                    新龙城                "
天通苑天通公园里1室1厅,55㎡,5200,1  室  1  厅,"
                    天通公园里                "
方庄芳古园一区2室1厅,60㎡,6200,2  室  1  厅,"
                    芳古园一区                "
安定门 鼓楼大街 青年湖  神华 中粮置地 精装一居室,47.07㎡,6200,1  室  1  厅,"
                    安德路55号院                "
玉泉路玉海园五里1室1厅,52㎡,5300,1  室  1  厅,"
                    玉海园五里                "
木樨园海户屯2室1厅,55㎡,5800,2  室  1  厅,"
                    海户屯                "
回龙观风雅园三区2室1厅,100㎡,6500,2  室  1  厅,"
                    风雅园三区                "
八角朝阳医院宿舍2室1厅,65㎡,5000,2  室  1  厅,"
                    朝阳医院宿舍                "
太平桥糖人街2室1厅,76㎡,7000,2  室  1  厅,"
                    糖人街                "
回龙观龙博苑二区3室1厅,87㎡,7700,3  室  1  厅,"
                    龙博苑二区                "
金融街新文化街3室1厅,77㎡,16500,3  室  1  厅,"
                    新文化街                "
中关村科育小区精装两居中间楼层采光好,59㎡,8800,2  室  1  厅,"
                    科育小区                "
军博地铁 北蜂窝22号院铁东小区新上精装一居 临近世纪坛,38㎡,5200,1  室  1  厅,"
                    铁东小区                "
欢乐谷翠成馨园B区1室1厅,71.32㎡,5000,1  室  1  厅,"
                    翠成馨园B区                "
双榆树双榆树北里1室1厅,41㎡,7600,1  室  1  厅,"
                    双榆树北里                "
良乡西潞园一里3室1厅,70.86㎡,2800,3  室  1  厅,"
                    西潞园一里                "
东直门东直门南大街4、8、12、甲2号楼2室1厅,69.55㎡,7000,2  室  1  厅,"
                    东直门南大街4、8、12、甲2号楼                "
国贸百子湾 金都杭城南北豪华两居 南北通透 拎包入住,105㎡,11000,2  室  1  厅,"
                    金都杭城东区                "
惠新西街小关北里1室1厅,47.3㎡,5800,1  室  1  厅,"
                    小关北里                "
天通苑天通苑东一区2室1厅,89㎡,5600,2  室  1  厅,"
                    天通苑东一区                "
马家堡明月嘉园2室1厅,77㎡,6800,2  室  1  厅,"
                    明月嘉园                "
长阳熙悦山南区新上2室1厅 中楼层 拎包入住 紧邻长阳站,69.74㎡,3900,2  室  1  厅,"
                    熙悦山南区                "
新华大街财富东方2室2厅,81㎡,4300,2  室  2  厅,"
                    财富东方                "
七里庄 首航 望园西里 2室1厅,60㎡,5000,2  室  1  厅,"
                    望园西里                "
安贞西里 安华桥 北土城 近环宇荟 北投 茅台大厦 电梯两居,60㎡,7600,2  室  1  厅,"
                    安贞西里四区                "
出租长阳西悦欣居大两居室,87.48㎡,3800,2  室  1  厅,"
                    西悦欣居                "
长阳长阳半岛云湾家园怡和路1号院3室1厅,100.61㎡,4800,3  室  1  厅,"
                    长阳半岛云湾家园怡和路1号院                "
东直门地铁 东直门外大街 一居室 东方银座 2号线,43㎡,6500,1  室  1  厅,"
                    东城区东直门外大街                "
方庄GOGO新世代1室1厅,25.77㎡,4500,1  室  1  厅,"
                    GOGO新世代                "
回龙观北京人家2室1厅,70㎡,5500,1  室  1  厅,"
                    北京人家                "
长阳熙悦山北区康泽路3号院2室1厅,87㎡,4200,2  室  1  厅,"
                    熙悦山北区康泽路3号院                "
国贸大望路 四惠通惠家园惠民园1室1厅1厨卫近地铁,62㎡,6500,1  室  1  厅,"
                    通惠家园惠民园                "
梨园 时尚街区东区 三居室  精装修,124.86㎡,6500,3  室  1  厅,"
                    时尚街区东区                "
武夷花园新华联运河湾南区2室1厅,89㎡,5300,2  室  1  厅,"
                    新华联运河湾南区                "
南礼士路地铁附近 紧邻 复兴门 金融街 木樨地 真武庙 全总,48㎡,6500,1  室  1  厅,"
                    铁一区                "
国务院宿舍，三居室，南北通透，可以随时看房,91.1㎡,14500,3  室  0  厅,"
                    国务院宿舍                "
十里堡，石佛营炫特嘉园，精装带阳台开间，明厨明卫，采光好,43㎡,5200,1  室  0  厅,"
                    炫特嘉园一期                "
业主直租精装两居室，看房提前联系，房子装修特别好，采光无遮挡,65㎡,8200,2  室  1  厅,"
                    芍药居                "
陶然亭黑窑厂西里2室1厅,65㎡,7800,2  室  1  厅,"
                    黑窑厂西里                "
成寿寺四方景园五区1室1厅,68.8㎡,5400,1  室  1  厅,"
                    四方景园五区                "
团结湖团结湖中路南三条1室1厅,37.3㎡,5700,1  室  1  厅,"
                    团结湖中路南三条                "
望京站 SOHO 凯德 福马大厦 夏都盈座 东南1室1厅,72㎡,7900,1  室  1  厅,"
                    夏都盈座                "
鲁谷六合园1室1厅,59㎡,4500,1  室  1  厅,"
                    六合园                "
甘露园朝阳无限1室1厅,60㎡,5700,1  室  1  厅,"
                    朝阳无限                "
惠新西街南口 安贞门 中建财富大厦 环宇荟 北三医院,57㎡,6600,2  室  1  厅,"
                    小关北里24号院                "
方庄芳星园三区2室1厅,62㎡,5900,2  室  1  厅,"
                    芳星园三区                "
陶然亭菜市口宣武门四平园小区南北通透两居室  随时入住可长租,59.52㎡,5600,2  室  1  厅,"
                    四平园小区                "
定福庄三间房西里2室1厅,57.26㎡,4300,2  室  1  厅,"
                    三间房西里                "
4号线马家堡站 马家堡西里带电梯南北向2室1厅,68㎡,5600,2  室  1  厅,"
                    马家堡西里                "
鲁谷永乐小区1室1厅,50㎡,4000,1  室  1  厅,"
                    永乐小区                "
亚运村安慧里二区2室1厅,62.44㎡,6500,2  室  1  厅,"
                    安慧里二区                "
方庄世纪星家园1室1厅,42㎡,4900,1  室  1  厅,"
                    世纪星家园                "
甘露园甘露家园2室1厅,40.59㎡,5300,2  室  1  厅,"
                    甘露家园                "
花梨坎地铁站 枫泉花园 精装2居 随时看房 拎包住 急租好房,75㎡,5300,2  室  1  厅,"
                    枫泉花园                "
14号线将台站 晶都国际开间出租 瞭望坝河颐堤港 视野好,49.49㎡,6300,1  室  1  厅,"
                    晶都国际                "
五棵松永定路西里2室1厅,60㎡,6200,2  室  1  厅,"
                    永定路西里                "
木樨地西便门东里2室1厅,49.55㎡,7500,2  室  1  厅,"
                    西便门东里                "
海淀八里庄北里小区一居室出租 精装修 慈寿寺地铁口 购物方,45㎡,6200,1  室  1  厅,"
                    西八里庄北里                "
"望京博雅国际中心1室1厅,紧邻美团，叶青大厦，科技园",50㎡,6700,1  室  0  厅,"
                    博雅国际中心                "
长阳熙悦山南区2室 高楼层 拎包入住 随时看房 紧邻长阳站,70.23㎡,4500,2  室  1  厅,"
                    熙悦山南区                "
广渠门京城仁合1室1厅,49.61㎡,5300,1  室  1  厅,"
                    京城仁合                "
白纸坊建功北里五区1室1厅,49㎡,4900,1  室  1  厅,"
                    建功北里五区                "
中关村 双榆树 知春里小区精装修两居室出租,61.2㎡,8900,2  室  1  厅,"
                    知春里                "
回龙观云趣园一区3室2厅 地铁8号线育知路站 整租,103㎡,6500,2  室  2  厅,"
                    云趣园一区                "
北大地北大街南里1室1厅,41㎡,4300,1  室  1  厅,"
                    北大街南里                "
欢乐谷翠成馨园D区2室1厅,79㎡,5000,2  室  1  厅,"
                    翠成馨园D区                "
方庄10AM新坐标1室1厅,46㎡,5300,1  室  1  厅,"
                    10AM新坐标                "
白纸坊建功北里二区2室1厅,61㎡,6000,2  室  1  厅,"
                    建功北里二区                "
惠新西街安苑东里一区2室1厅,57.3㎡,6000,2  室  1  厅,"
                    安苑东里一区                "
兴隆家园精装两居 拎包入住 大悦城 地铁1.6号线,92.61㎡,8500,2  室  1  厅,"
                    兴隆家园                "
长椿街  新上康乐里 一居,60㎡,8200,1  室  1  厅,"
                    康乐里小区                "
九棵树(家乐福)翠屏南里3室0厅,106.2㎡,5200,3  室  1  厅,"
                    翠屏南里                "
新上 东大桥  蓝岛大厦 农丰里 2室1厅,65㎡,7500,2  室  1  厅,"
                    农丰里                "
甘露园朝阳无限2室1厅,66.13㎡,6600,2  室  1  厅,"
                    朝阳无限                "
三里屯泰悦豪庭1室1厅,55.49㎡,8000,1  室  0  厅,"
                    泰悦豪庭                "
天通苑北一区全南向两居，户型方正，采光好，地铁边拎包住,107㎡,6800,2  室  1  厅,"
                    天通苑北一区                "
东大桥向军北里3室1厅,69㎡,7200,3  室  1  厅,"
                    向军北里                "
东亚奥北北区,30.44㎡,4500,0  室  0  厅,"
                    东亚奥北北区                "
九棵树(家乐福)怡然世家2室1厅,71㎡,4300,2  室  1  厅,"
                    怡然世家                "
房山城关永兴达家园3室1厅,106.87㎡,2600,3  室  1  厅,"
                    永兴达家园                "
望京花家地南里1室1厅,49㎡,5200,1  室  1  厅,"
                    花家地南里                "
良乡阳光邑上3室1厅,105㎡,4600,3  室  1  厅,"
                    阳光邑上                "
甜水园道家园3室1厅,78㎡,8300,3  室  1  厅,"
                    道家园                "
亚运村慧忠北里第四社区3室1厅,112㎡,11000,3  室  1  厅,"
                    慧忠北里第四社区                "
新宫南庭新苑南区1室1厅,50㎡,4500,1  室  1  厅,"
                    南庭新苑南区                "
龙泽苑西区 两居两卫，家电家具齐全，,99㎡,7500,2  室  1  厅,"
                    龙泽苑西区                "
果园晟世嘉园1室0厅，精装修，拎包入住。,40㎡,3100,1  室  1  厅,"
                    晟世嘉园                "
天通苑天通苑东二区2室1厅,107㎡,5500,2  室  1  厅,"
                    天通苑东二区                "
大红门10号线南北向中间层正规两居,78㎡,5500,2  室  1  厅,"
                    建欣苑二里                "
马连道 欧园精装1室0厅,41.8㎡,4500,1  室  0  厅,"
                    欧园                "
洋桥洋桥北里1室1厅,45㎡,4000,1  室  1  厅,"
                    洋桥北里                "
甜水园甜水园东里2室1厅,45㎡,6200,2  室  1  厅,"
                    甜水园东里                "
长阳长阳国际城三里3室1厅,89㎡,4300,3  室  1  厅,"
                    长阳国际城三里                "
定福庄妇联小区2室1厅,72㎡,5500,2  室  1  厅,"
                    妇联小区                "
陶然亭四平园小区1室1厅,49.14㎡,5300,1  室  1  厅,"
                    四平园小区                "
广安门 京铁和园整租,37.05㎡,4600,1  室  0  厅,"
                    京铁和园                "
10号线角门东地铁 角门东里电梯两居室,70.13㎡,5200,2  室  1  厅,"
                    角门东里                "
立水桥明天城大两居，DUAN租几个月都行,84㎡,6200,2  室  1  厅,"
                    明天第一城5号院                "
良乡蓝光星华海悦城2室1厅,72.58㎡,3300,2  室  1  厅,"
                    蓝光星华海悦城                "
韩村河雅苑2室1厅,90.09㎡,1700,2  室  1  厅,"
                    雅苑                "
方庄世纪星家园1室1厅,41.26㎡,4700,1  室  1  厅,"
                    世纪星家园                "
西二旗西二旗智学苑2室1厅,69㎡,7300,2  室  1  厅,"
                    西二旗智学苑                "
天通苑本六区精装南北两居，装修干净整洁，采光充足，居住舒适。,80㎡,5500,2  室  1  厅,"
                    天通苑本六区                "
长阳长阳半岛祥云街3号院4室2厅,136.05㎡,7200,4  室  2  厅,"
                    长阳半岛祥云街3号院                "
陶然亭地铁，右安门内万博苑复式3居，交通方便，配套齐全,132.17㎡,13200,3  室  2  厅,"
                    万博苑                "
北苑来北家园2室1厅,90㎡,7000,2  室  1  厅,"
                    来北家园                "
房山 城关 煤炭公司家属楼 2室1厅,66.65㎡,1800,2  室  1  厅,"
                    煤炭公司家属楼                "
朝阳门三丰里小区1室1厅,50㎡,6000,1  室  1  厅,"
                    三丰里小区                "
良乡西潞园三里2室1厅,77.52㎡,2600,2  室  1  厅,"
                    西潞园三里                "
常营金隅丽景园2室1厅,69.87㎡,5500,2  室  1  厅,"
                    金隅丽景园                "
回龙观融泽嘉园6号院2室1厅,87㎡,7200,2  室  1  厅,"
                    融泽嘉园6号院                "
蒲黄榆刘家窑东里2室1厅,58㎡,5300,2  室  1  厅,"
                    刘家窑东里                "
四惠八里庄东里1室1厅,42㎡,4500,1  室  1  厅,"
                    八里庄东里                "
西红门阳光星苑北区2室1厅,66㎡,4700,2  室  1  厅,"
                    阳光星苑北区                "
国展左家庄北里2室1厅,53.85㎡,7500,2  室  1  厅,"
                    左家庄北里                "
九棵树 地铁 周边 怡然世家2室1厅,73.39㎡,4300,2  室  1  厅,"
                    怡然世家                "
定福庄定福家园南里2号院2室0厅,93㎡,6600,2  室  1  厅,"
                    定福家园南里2号院                "
苹果园雍景四季2室1厅,113㎡,7600,2  室  1  厅,"
                    雍景四季                "
芍药居甲二号院精装大两居距离地铁站500米经贸大学中日医院,97.74㎡,8500,2  室  1  厅,"
                    芍药居甲2号院                "
后沙峪吉祥雅筑2室1厅,85㎡,4800,2  室  1  厅,"
                    吉祥雅筑                "
智汇时代广场,33.8㎡,2600,0  室  0  厅,"
                    智汇时代广场                "
优选，双井，国贸.百子湾沿海赛洛城七期3室1厅,107㎡,9200,3  室  1  厅,"
                    沿海赛洛城七期                "
蒲黄榆蒲安北里1室1厅,41.58㎡,4500,1  室  1  厅,"
                    蒲安北里                "
双桥 八通线 康惠园1号院 精装 南向 正规一居,57㎡,4500,1  室  1  厅,"
                    康惠园1号院                "
良乡阳光邑上2室1厅，有钥匙，看房方便,90.24㎡,3200,2  室  1  厅,"
                    阳光邑上                "
望京世安家园2室1厅望京西站 全南向两居室公园环绕天然氧吧,82.9㎡,8200,2  室  1  厅,"
                    世安家园                "
朝青国美第一城3号院2室1厅,88㎡,7800,2  室  1  厅,"
                    国美第一城3号院                "
精装2居室新文化街可长租随时看房,57.6㎡,9700,2  室  1  厅,"
                    新文化街                "
通州新城 月亮河城堡 102平南北一居 高档小区,102㎡,5000,1  室  1  厅,"
                    月亮城堡                "
月坛  财政部 发改委 三里河二区3室1厅,85㎡,13000,3  室  1  厅,"
                    三里河二区                "
望京方舟苑2室1厅,99.14㎡,6800,1  室  1  厅,"
                    方舟苑                "
燕莎霞光里30号院精装1室1厅出租采光足,39㎡,6500,1  室  1  厅,"
                    霞光里30号院                "
房山城关顾册教师住宅楼3室1厅,77.75㎡,1600,3  室  1  厅,"
                    顾册教师住宅楼                "
腾龙家园三区 两居室 南北向 户型方正 明厨明卫,103㎡,2600,2  室  2  厅,"
                    腾龙家园三区                "
奥林匹克公园澳林春天二期2室2厅,104.48㎡,8900,2  室  2  厅,"
                    澳林春天二期                "
朝青国美第一城3号院2室1厅,87㎡,7800,2  室  1  厅,"
                    国美第一城3号院                "
"马家堡明月嘉园2室1厅,",83㎡,7300,2  室  1  厅,"
                    明月嘉园                "
广安门荣丰20081室1厅,29.93㎡,5800,1  室  1  厅,"
                    荣丰2008                "
刘家窑横七条11号院2室1厅,60㎡,5000,2  室  1  厅,"
                    横七条11号院                "
四季青绿波漫板1室0厅,52.76㎡,5900,1  室  1  厅,"
                    绿波漫板                "
马家堡星河苑2号院 南向 一居 出租,68㎡,6300,1  室  1  厅,"
                    星河苑2号院                "
马家堡三星庄园2室1厅,78㎡,5000,2  室  1  厅,"
                    三星庄园                "
四季青美丽西园2室1厅,63㎡,7000,2  室  1  厅,"
                    美丽西园                "
"枣园中建国际港1室1厅枣园中建国际港1室0厅,朝东，采光佳",55㎡,4000,1  室  1  厅,"
                    中建国际港                "
1号线 四惠 东恒时代二期 3室2厅 南北三居室,142㎡,12000,3  室  2  厅,"
                    东恒时代二期                "
宋家庄政馨园一区2室1厅,72㎡,5800,2  室  1  厅,"
                    政馨园一区                "
工体太平庄南里2室1厅,52㎡,7800,2  室  1  厅,"
                    太平庄南里                "
宋家庄政馨园一区1室1厅,52㎡,5000,1  室  1  厅,"
                    政馨园一区                "
东直门 幸福二村 东城区东直门外大街1室1厅,38㎡,6000,1  室  1  厅,"
                    东城区东直门外大街                "
窦店山水汇豪A区3室2厅 精装修 家具家电齐全,107.47㎡,2300,3  室  2  厅,"
                    山水汇豪A区                "
方庄芳城园一区2室1厅,68㎡,7000,2  室  1  厅,"
                    芳城园一区                "
方庄时代紫芳2室1厅,82㎡,6500,2  室  1  厅,"
                    时代紫芳                "
健翔桥安翔里2室1厅,55㎡,7500,2  室  1  厅,"
                    安翔里                "
天通苑天通苑中苑2室1厅,109㎡,6300,2  室  1  厅,"
                    天通苑中苑                "
玉泉路玉景阳光正规一居室 精装新房带电梯 看房随时,67㎡,6500,2  室  0  厅,"
                    玉景阳光                "
14号线将台站 晶都国际开间出租  瞭望坝河颐堤港 视野好,48.73㎡,6900,1  室  0  厅,"
                    晶都国际                "
立水桥东辰小区2室1厅,63.96㎡,5400,2  室  1  厅,"
                    东辰小区                "
良乡首创伊林郡一期3室1厅,92.67㎡,3700,3  室  1  厅,"
                    首创伊林郡一期                "
崇文门新景家园东区1室1厅,60㎡,6900,1  室  1  厅,"
                    新景家园东区                "
方庄芳城园一区3室1厅,78㎡,8500,3  室  1  厅,"
                    芳城园一区                "
长阳金地朗悦润园（四期）3室1厅  全明格局 拎包入住,89.98㎡,5000,3  室  1  厅,"
                    金地朗悦润园（四期）                "
马连道 建茗园 精装2室1厅,71㎡,6500,2  室  1  厅,"
                    建茗园                "
后沙峪清岚花园回民营二区1室1厅,52.9㎡,4500,1  室  1  厅,"
                    清岚花园回民营二区                "
玉泉路玉海园一里1室1厅,50㎡,5000,1  室  1  厅,"
                    玉海园一里                "
定福庄三间房西里2室1厅,57㎡,4800,2  室  1  厅,"
                    三间房西里                "
良乡苏庄三里2室1厅,75.41㎡,3100,2  室  1  厅,"
                    苏庄三里                "
长阳天资华府3室2厅2卫，看房方便，诚意出租,117.71㎡,4000,3  室  2  厅,"
                    天资华府                "
阎村绿城百合云栖苑两居室出租,104.86㎡,3500,2  室  2  厅,"
                    绿城百合公寓云栖苑                "
长阳西悦雅居2室1厅,88.88㎡,4200,2  室  1  厅,"
                    西悦雅居                "
八通沿线土桥临河里华业东方玫瑰精装三居室随时看房,90.06㎡,5300,3  室  1  厅,"
                    华业东方玫瑰A区                "
房山城关福星家园A区2室1厅,80.76㎡,1800,2  室  1  厅,"
                    福星家园A区                "
婚房一居室，广安门京铁和园，精装修，家具家电全齐,38㎡,4500,1  室  1  厅,"
                    京铁和园                "
长阳加州水郡西区三期2室1厅,87.34㎡,3300,2  室  1  厅,"
                    加州水郡西区三期                "
整租，草桥草桥28号院2室1厅，业主诚心出租，,102㎡,7700,2  室  1  厅,"
                    草桥28号院                "
本房位于物资学院地铁B口附近，天赐良园北区，交通方便,116㎡,6800,3  室  1  厅,"
                    天赐良园北二期                "
良乡黄辛庄东里2室1厅,93.43㎡,2600,2  室  1  厅,"
                    黄辛庄东里                "
马连道红莲南里2室1厅精装修,60㎡,5000,2  室  1  厅,"
                    红莲南里                "
广阳城铁电梯新房 包物业取暖全齐拎包入住,81㎡,3500,2  室  1  厅,"
                    世茂维拉                "
丰台其它广安康馨家园北区2室1厅,77.14㎡,4700,2  室  1  厅,"
                    广安康馨家园北区                "
西二区南北二居，近地铁可合住，包物业取暖，家电齐全，看房随时,86㎡,6100,2  室  1  厅,"
                    天通西苑二区                "
旧宫明悦湾3室1厅/干净整洁,97㎡,4800,3  室  1  厅,"
                    明悦湾                "
右安门内育新街2室1厅,49.3㎡,6200,2  室  1  厅,"
                    育新街                "
木樨地 广电 真武家园2室1厅 精装修 随时看房 长期出租,94㎡,16500,2  室  1  厅,"
                    真武家园                "
丽都壹号 卡不其诺 上东三角洲 将台酒仙桥两居室,108㎡,7800,2  室  1  厅,"
                    上东三角洲                "
将台路 酒仙桥飘HOME1室1厅,63㎡,7300,1  室  1  厅,"
                    飘HOME                "
天通苑天通苑北二区2室2厅此房为南北两居室，主卧室带独卫朝南,118.96㎡,6800,2  室  2  厅,"
                    天通苑北二区                "
国展l柳芳左家庄力鸿花园精装三居室,141.82㎡,14800,3  室  2  厅,"
                    力鸿花园                "
阎村绿城百合公寓梦泉苑 两居室 出租,88.07㎡,2800,2  室  2  厅,"
                    绿城百合公寓梦泉苑                "
安贞安华西里新出一居 紧邻地铁 朝南电梯房  看房方便,43㎡,6200,1  室  1  厅,"
                    安华西里一区                "
